rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
11,APH,Amphenol,Information Technology,Electronic Components,191235735552,0.6692307692307693,2026-10-28,36,4.0,0.0,11.1775,2.795,0.6585365853658538,0.5838910829349409,0.198035806651514,2,0.38585527628342686,0.55,0.29779,0.17729001,0.38115,1.4151123768447922,0.05867412502172553,-0.1203493667152793,0.31695909221001983,0.2800091050125366,38.775,23.687853932167513,strong_buy,-0.03892619307182648,1.28346209830926,
12,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,182012575744,0.6569711538461538,2026-10-15,23,3.0,1.0,2.9924999999999997,1.045,0.42105263157894757,0.2086822765339258,0.06405520892720595,2,0.14462706760671984,0.209,0.52277,0.38793,0.20273,,0.07856407204359295,-0.07391114309810343,0.1575114540146192,0.18717339667458432,19.17122,13.484306,buy,-0.0027064070755847664,1.1308438985736926,RECEIVABLES_OUTRUN
13,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,19325878272,0.6435096153846154,2026-11-04,43,3.0,1.0,11.6525,7.305,0.9957805907172996,0.17566137566137563,0.032345688252180205,1,0.14331568740919542,0.176,0.49325,0.27122,0.29867,0.29253807248190977,0.16399883925951575,-0.08307608938952682,0.548198743803304,-0.01919794053899493,9.466271,11.949197714439638,hold,-0.0608686609587854,1.4182944259171033,
14,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,54130307072,0.6271634615384616,2026-11-02,41,3.0,1.0,3.1325,14.835,1.4269662921348316,0.5132840317721172,0.34072922156910534,2,0.1725548102030119,0.525,0.48466998,0.09029,0.034930002,1.0315789371888122,0.05994230362409647,-0.09034179889676208,0.40282481972768336,0.21806102395975646,36.65143,10.303806901949725,buy,-0.12206050971095744,6.914110429447852,
15,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4905541566464,0.6228365384615384,2026-10-29,37,4.0,0.0,5.265,-0.33000000000000007,0.286624203821656,0.16356501765281384,0.04029668233518113,2,0.1232683353176327,0.164,0.32623002,0.27618998,1.4875101,0.13065685929459028,0.17551136173908422,-0.010762395795705038,0.4116559610965982,-0.02352647716043521,38.591274,35.05517050923102,buy,-0.04979006968762985,1.138012875203599,
16,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,76821012480,0.5959134615384616,2026-11-05,44,4.0,0.0,5.6175,-2.914999999999999,1.1853448275862073,0.5861811391223155,0.4142320373898145,0,0.171949101732501,0.587,0.40717998,0.25733,0.22507,0.2306312636994002,0.11646925861592505,-0.06185774311064307,0.24535886855661726,0.12221559172587027,11.224124,9.742998711387488,buy,-0.12827134475150148,1.9426992437463642,
17,V,Visa Inc.,Financials,Transaction & Payment Processing Services,691411156992,0.5951923076923078,2026-10-27,35,4.0,0.0,2.6774999999999998,4.195,0.11409395973154357,0.14362957137239474,0.028865053520288786,3,0.11476451785210595,0.144,0.66130996,0.50782,0.6119,0.3237280503091134,0.09975219398242419,-0.04126101290963258,0.07231482504960773,0.13867229702173334,31.34383,24.545631569498216,strong_buy,0.00012332103548562797,0.9994688385269122,
18,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,107728044032,0.590625,2026-11-04,43,4.0,0.0,17.6675,17.005000000000003,0.4761904761904763,0.3225480283114257,0.10634907750944,3,0.2161989508019857,0.323,0.43884,0.42011002,0.23618999,,0.2625832195362765,-0.21408897797243875,0.009946057916776496,0.07944016298964263,53.0177,35.40152390983402,buy,0.039771861462437684,0.11824324324324324,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
19,BNY,BNY Mellon,Financials,Asset Management & Custody Banks,104347148288,0.569951923076923,2026-10-15,23,4.0,0.0,10.0625,7.114999999999999,0.268041237113402,0.13846810326434822,0.031579356809897874,3,0.10688874645445035,0.131,0.40046,0.29413998,0.14124,,0.14454304582664546,-0.06703472031816482,0.4634301492037134,0.09100531455143224,17.945158,15.005540344917033,buy,0.005300296944346882,0.5544371749706425,LOW_CASH_CONVERSION
20,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,53471002624,0.5663461538461538,2026-11-04,43,2.0,2.0,4.025,-1.7000000000000002,0.8690476190476193,0.7313258636788049,0.6164262149624877,2,0.1148996487163172,0.642,0.41077,0.17464,0.11522,1.2262438231826065,0.11629721309008278,-0.0537198846536342,0.4077667221473569,0.24313041022944692,10.567391,9.067185113848396,strong_buy,-0.10310608801071537,2.607621951219512,
21,CSCO,Cisco,Information Technology,Communications Equipment,431752708096,0.5478846153846154,2026-11-12,51,4.0,0.0,2.56,1.5499999999999998,0.23232323232323226,0.17576501056362015,0.07679245370726107,2,0.09897255685635908,0.176,0.27719,0.20951,0.27319,0.8189572162228582,0.14338529571657,-0.15446404051307228,0.6505842253968144,0.256734520275093,32.885887,19.54746838131583,buy,-0.0072242863040233715,1.0685912414260947,INVENTORY_BUILD
22,MSFT,Microsoft,Information Technology,Systems Software,3666585845760,0.5451923076923078,2026-10-28,36,4.0,0.0,8.7825,-0.8550000000000004,0.29863013698630136,0.17747020577962092,0.04587713461465803,3,0.13159307116496288,0.177,0.45111,0.40305,0.34039003,0.26755971977394727,0.14812350737205815,-0.08158972636337825,-0.023876153606371853,0.16026400708076038,27.47802,20.929372948259243,strong_buy,-0.0714197036545497,1.367748543914347,
23,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",33527404544,0.5324519230769231,2026-11-05,44,4.0,0.0,18.2975,15.395,0.35849056603773577,0.13972530375066028,0.052994718252369344,3,0.08673058549829094,0.14,0.1898,0.12968001,0.89489,-0.4972319223687495,0.07718644565280885,-0.1750870873685354,0.24977323838119347,0.21293478645725283,17.569183,11.417905249469701,buy,-0.11349643985224048,2.56188605108055,
24,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",99530153984,0.5324519230769231,2026-11-05,44,1.0,3.0,-6.265000000000001,7.88,0.33009708737864085,0.1653746770025839,0.06220719281857501,3,0.1031674841840089,0.165,0.21009001,0.2045,0.34542,-3.4672221709171382,0.17215880521669025,-0.12745406183357944,0.34918835501703915,0.10907230565607007,37.863327,26.86657319730544,buy,-0.0778172424927349,1.806020066889632,
