rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
21,BAC,Bank of America,Financials,Diversified Banks,406838116352,0.5303125,2026-10-14,26,4.0,0.0,7.66,1.2000000000000002,0.3595505617977528,0.07168902892342555,0.04556340574444162,3,0.75,8.0,0.013294560426474325,0.02517878062687577,-0.037770466956260074,"+2%, +2%, -4%, +4%",-0.08957129997301816,False,0.026125623178983925,0.168,0.38305,0.29524,0.111990005,,0.064155397453461,-0.09771884914848039,0.17292067710612047,0.18351907251321142,13.374713,10.994846057672065,buy,-0.0072501939198990305,1.781581682466694,RECEIVABLES_OUTRUN
22,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,24566161408,0.5262847222222222,2026-10-29,41,4.0,0.0,36.055,-18.269999999999996,0.40944881889763773,0.2814116215393976,0.24227044820903232,2,0.75,8.0,0.03410630614380035,0.05289525141252975,-0.037670151755103576,"+6%, +8%, -4%, +8%",-0.04101796230981514,False,0.039141173330365264,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.032048471098375275,-0.12877751643694302,0.13505167435430687,,15.216146,10.170584053120244,none,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
23,MA,Mastercard,Financials,Transaction & Payment Processing Services,495585067008,0.5180555555555556,2026-10-29,41,4.0,0.0,5.885,-2.009999999999999,0.21445783132530116,0.14066150252059506,0.025896677909387877,3,0.625,8.0,0.007835228085265225,0.026079543684288983,-0.04247659198318421,"+2%, -4%, +4%, -0%",-0.014939696551196424,False,0.11476482461120718,0.141,0.61108,0.46339,2.41202,0.5870906905803254,0.06656613464355776,-0.05689661873813734,-0.029270231967562288,0.17850179947609868,31.2558,24.570451151730257,strong_buy,-0.021627169590000182,1.0725841176108752,
24,V,Visa Inc.,Financials,Transaction & Payment Processing Services,694490038272,0.5046527777777778,2026-10-27,39,4.0,0.0,2.6774999999999998,4.195,0.11409395973154357,0.14362957137239474,0.027617382783633238,3,0.625,8.0,0.012303937005014073,0.026805905319496406,-0.03004823306429849,"+1%, +8%, -3%, -2%",0.015593665547786628,False,0.1160121885887615,0.144,0.66130996,0.50782,0.6119,0.3237280503091134,0.10530735611244735,-0.03699177755710026,0.09663424916543772,0.13362430271379,31.537085,24.654931511858685,strong_buy,0.00012332103548562797,0.9994688385269122,
25,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,128364183552,0.4877777777777778,2026-10-29,41,4.0,0.0,12.76,13.4,0.3972602739726028,0.057380389599804404,0.03745229606692724,0,0.625,8.0,0.017348468456527516,0.04550992540909246,-0.05806857344274785,"+3%, +5%, +4%, +7%",-0.04859958744671844,False,0.019928093532877167,0.057,0.34418,0.18871,0.46598998,1.7953514078079758,0.08312237405988343,-0.07710378128455297,0.4211529011548578,0.061558399713861345,13.995546,9.572206523243201,buy,-0.03839613844550491,1.3770739064856712,
26,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,25799753728,0.4768055555555556,2026-10-22,34,4.0,0.0,16.755,7.42,0.2880434782608696,0.13803000652315722,0.03733991279661275,1,0.625,8.0,0.019315021628544662,0.14274308492564858,-0.38218314648687135,"-8%, +13%, +3%, +11%",0.05773395071136811,False,0.10069009372654447,0.138,0.22469,0.1698,0.19087,-0.1307827230870423,0.2355211480781787,0.0,0.4234319111830076,0.10576921235930259,46.879795,36.74598761178316,strong_buy,-0.024236536641259403,1.1722428748451053,
27,NSC,Norfolk Southern,Industrials,Rail Transportation,71643332608,0.47416666666666657,2026-10-22,34,4.0,0.0,7.9375,-3.6750000000000007,0.06990881458966558,0.11414790996784574,0.08321420634933596,1,0.7142857142857143,7.0,0.01362863036328564,0.026742981288506232,-0.030444877094436995,"+5%, -1%, +2%, -2%",-0.058835685656792425,False,0.030933703618509778,0.114,0.35296002,0.21021,0.16985,2.839660947600512,0.03443109188518312,-0.09635109271652864,0.1672197145160823,0.14517907201955138,27.031355,22.272700085237965,hold,-0.024552796352924046,1.4157814871016692,
28,PAYX,Paychex,Industrials,Human Resource & Employment Services,41475284992,0.4600000000000001,2026-09-23,5,4.0,0.0,1.76,-0.2999999999999998,0.10924369747899165,0.12485111749457012,0.012617319862666232,3,0.7142857142857143,7.0,0.0032696803575262,0.036502516577827576,-0.09399008685206367,"-2%, +3%, +2%, -2%",-0.028516619363318063,False,0.11223379763190389,0.125,0.38325,0.27029,0.44769,1.156302882298585,0.13665660678264668,-0.08504786016267252,-0.07581190841779073,0.03853744555355476,23.875,18.215360333981693,hold,-0.048664267867288155,1.4525879211408443,
29,KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,378882457600,0.4590277777777778,2026-10-20,32,4.0,0.0,4.485,0.96,0.11494252873563227,0.06741124850418823,0.016264728307608056,3,0.75,8.0,0.02244934987608513,0.029427342129016515,-0.02073425519396077,"+5%, +4%, +2%, +4%",-0.002640597631040298,False,0.05114652019658017,0.067,0.34873,0.28558,0.42054,1.6407812376785502,0.1271261010786069,-0.03700981962643768,0.3647490552333057,0.0753537659025143,26.365269,24.971782307673546,buy,-0.01909024522390521,1.1415199776473874,
30,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,26075920384,0.45312499999999994,2026-10-26,38,3.0,1.0,10.5025,-34.025,-0.2741116751269036,0.1157443491816057,-0.022273981376680796,3,0.7142857142857143,7.0,0.005384380564374833,0.02521007047936215,-0.0373636588999654,"-1%, +1%, -3%, -4%",-0.008462282786002806,False,0.1380183305582865,0.316,0.37202,0.23843001,0.21484,-0.23276058540892727,0.020801602046411904,-0.11524243620001717,0.13333241726783474,0.12811463734823625,8.063598,18.812516324176038,none,-0.017862830787264132,1.2542618788538267,
31,PM,Philip Morris International,Consumer Staples,Tobacco,296884666368,0.4452083333333334,2026-10-21,33,3.0,0.0,7.086666666666666,0.3099999999999996,0.1518324607329844,0.10374753451676533,0.03631670499883222,3,0.7142857142857143,7.0,0.026706074667527516,0.05870008432114003,-0.08427528210717117,"+3%, +7%, -1%, -4%",0.015243581093610015,False,0.06743082951793311,0.104,0.40002,0.25559,,2.394448965239933,0.09393094714804562,-0.04840886511487996,0.21120810938046386,0.08882824785791765,26.309393,20.740349534794547,buy,-0.04956973760208222,1.3117528048556188,
32,CME,CME Group,Financials,Financial Exchanges & Data,97499914240,0.4260069444444445,2026-10-21,33,3.0,1.0,1.3675,-0.23499999999999988,0.01013513513513531,0.008392434988179653,-0.04591384968527845,3,1.0,6.0,0.012554459807161453,0.016395360387873217,-0.015363602322847059,"+5%, +0%, +1%, +0%",0.0032512635992958394,False,0.054306284673458105,0.008,0.65036005,0.63443,0.15802,0.33386431694613594,-0.011192728320029266,-0.14114567036566716,0.08407071035082425,0.04591556844463218,23.096252,20.976434527825933,hold,-0.00011746376509809826,1.0051317937951947,RECEIVABLES_OUTRUN
33,BIIB,Biogen,Health Care,Biotechnology,32365514752,0.4177777777777778,2026-10-28,40,4.0,0.0,36.3425,25.625,-0.34186471663619744,0.034209034209034206,0.014006235001391865,1,0.75,8.0,0.02050730740328964,0.04110401684689331,-0.04275777846304951,"+2%, +6%, +9%, +3%",0.030581039316274206,False,0.02020279920764234,0.034,0.25058,0.083229996,0.04575,2.1046976137175517,0.13701631914873302,-0.024319591949889197,0.5245685844796188,0.08734054636703936,38.295456,13.246975184554026,buy,-0.06766991962500496,3.449317038102085,RECEIVABLES_OUTRUN
34,EW,Edwards Lifesciences,Health Care,Health Care Equipment,50867298304,0.40888888888888897,2026-10-29,41,3.0,1.0,4.7,3.04,0.16417910447761197,0.13627463777574733,0.030306861838717003,3,0.5714285714285714,7.0,0.029470905092823046,0.03955182973522928,-0.014197118178702728,"-1%, +6%, +3%, -1%",-0.030006630646332466,False,0.10596777593703033,0.136,0.29839,0.15431,0.09175,-1.776993141025641,0.03834768022653168,-0.07280941671523544,0.1752564163526107,0.14404011331444755,53.16265,26.131578,buy,-0.052303350660554616,1.7119116329983084,
35,ODFL,Old Dominion,Industrials,Cargo Ground Transportation,36306071552,0.4018055555555556,2026-10-28,40,4.0,0.0,6.555000000000001,5.07,0.3228346456692912,0.10391241464946255,0.10118590936662653,0,0.5714285714285714,7.0,-0.0068636689987298105,0.05649713340744378,-0.09659504618406256,"-5%, -6%, +10%, +1%",-0.15691375731805257,False,0.0027265052828360226,0.104,0.28835,0.19443001,0.24818,-0.14718697177265114,-0.11552420880061909,-0.29497070165195016,0.19832766492895004,0.3066572321955663,33.542145,26.326947449356545,buy,-0.054015476913941526,1.2798427579419724,
36,JPM,JPMorgan Chase,Financials,Diversified Banks,928531021824,0.3983680555555556,2026-10-13,25,3.0,1.0,3.435,6.7700000000000005,0.2379032258064515,0.1775767568290183,0.1325836978674919,3,0.5714285714285714,7.0,0.005499866275741103,0.026783689488684106,-0.04188112643568365,"+2%, -2%, -4%, -2%",-0.03837578098115968,False,0.04499305896152639,0.304,0.50394,0.34921002,0.17789,,0.09679342734441887,-0.0434580082027588,0.15137144813185888,0.07463557477204197,14.946939,13.979115402296815,buy,0.0475776925568518,-2.4979482687076398,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
37,CTAS,Cintas,Industrials,Diversified Support Services,79217573888,0.39041666666666663,2026-09-23,5,4.0,0.0,1.09,0.57,0.15596330275229353,0.08904872149740672,0.02820001006484607,3,0.75,8.0,0.006414775512937093,0.04414390163709689,-0.10568039478542024,"+7%, -5%, +1%, +1%",-0.007470495147521405,False,0.060848711432560654,0.089,0.23688,0.17754,0.40714002,0.8069930025100017,0.06060678528569885,-0.08338684685740017,0.003314140438228419,0.09270808579361,40.648872,32.3689410978014,buy,-0.027150125567562088,1.1381582105313686,
