rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
24,V,Visa Inc.,Financials,Transaction & Payment Processing Services,691411156992,0.5029545454545454,2026-10-27,36,4.0,0.0,2.6774999999999998,4.195,0.11409395973154357,0.14362957137239474,0.02855339744574592,3,0.625,8.0,0.012303927885034524,0.026805917479974864,-0.03004823306429849,"+1%, +8%, -3%, -2%",0.007523116309338329,False,0.11507617392664882,0.144,0.66130996,0.50782,0.6119,0.3237280503091134,0.09975219398242419,-0.04126101290963258,0.07231482504960773,0.13867229702173334,31.34383,24.545631569498216,strong_buy,0.00012332103548562797,0.9994688385269122,
25,PAYX,Paychex,Industrials,Human Resource & Employment Services,41343574016,0.48716403162055333,2026-09-23,2,4.0,0.0,1.76,-0.2999999999999998,0.10924369747899165,0.12485111749457012,0.014082539558555762,3,0.7142857142857143,7.0,0.0032696098488181197,0.03650247242658429,-0.09399019228192285,"-2%, +3%, +2%, -2%",-0.05191837232940055,False,0.11076857793601436,0.125,0.38325,0.27029,0.44769,1.156302882298585,0.13253645192804764,-0.08795348885140164,-0.08458915391001676,0.04184605334847924,23.750511,18.163817904543528,hold,-0.048664267867288155,1.4525879211408443,
26,WST,West Pharmaceutical Services,Health Care,Health Care Supplies,25497841664,0.47897233201581035,2026-10-22,31,4.0,0.0,16.755,7.42,0.2880434782608696,0.13803000652315722,0.03788074132425123,1,0.625,8.0,0.019315000573414814,0.14274307917973197,-0.38218320527875427,"-8%, +13%, +3%, +11%",0.026984860067145844,False,0.10014926519890599,0.138,0.22469,0.1698,0.19087,-0.1307827230870423,0.2192383365990207,-0.011702150773315934,0.4161480740513397,0.11886230777951878,46.27203,36.31597975528674,strong_buy,-0.024236536641259403,1.1722428748451053,
27,PM,Philip Morris International,Consumer Staples,Tobacco,293985648640,0.46543478260869564,2026-10-21,30,3.0,0.0,7.086666666666666,0.3099999999999996,0.1518324607329844,0.10374753451676533,0.036925672218727,3,0.7142857142857143,7.0,0.02670609329562902,0.05870010294924154,-0.08427528210717117,"+3%, +7%, -1%, -4%",-0.006897265356240911,False,0.06682186229803833,0.104,0.40002,0.25559,,2.394448965239933,0.08211439322285541,-0.057700969962589,0.17529229707872163,0.09956529195722164,25.90934,20.53782446833661,buy,-0.04956973760208222,1.3117528048556188,
28,BIIB,Biogen,Health Care,Biotechnology,31840987136,0.46124505928853765,2026-10-28,37,4.0,0.0,36.3425,25.625,-0.34186471663619744,0.034209034209034206,0.014189233782623933,1,0.75,8.0,0.02050730740328964,0.04110401684689331,-0.04275777846304951,"+2%, +6%, +9%, +3%",-0.02735149677455251,False,0.020019800426410272,0.034,0.25058,0.083229996,0.04575,2.1046976137175517,0.11749544034839965,-0.040131819194185625,0.48754060373701846,0.10525266821345713,38.345196,13.03229,buy,-0.06766991962500496,3.449317038102085,RECEIVABLES_OUTRUN
29,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,25937790976,0.4456521739130435,2026-10-26,35,3.0,1.0,10.5025,-34.025,-0.2741116751269036,0.1157443491816057,-0.02128840831173462,3,0.7142857142857143,7.0,0.005384418524885012,0.02521006015316636,-0.037363465753141534,"-1%, +1%, -3%, -4%",0.0030268531676000965,False,0.13703275749334032,0.316,0.37202,0.23843001,0.21484,-0.23276058540892727,0.015220445672483152,-0.11992917213818044,0.11849899794843255,0.1341223076923077,7.97546,18.712864,none,-0.017862830787264132,1.2542618788538267,
30,EW,Edwards Lifesciences,Health Care,Health Care Equipment,50820108288,0.41938735177865616,2026-10-29,38,3.0,1.0,4.7,3.04,0.16417910447761197,0.13627463777574733,0.03127498372411752,3,0.5714285714285714,7.0,0.029470905092823046,0.03955182973522928,-0.014197118178702728,"-1%, +6%, +3%, -1%",-0.04356303311924514,False,0.10499965405162981,0.136,0.29839,0.15431,0.09175,-1.776993141025641,0.03828272944252609,-0.07270433018236722,0.17367028880303104,0.14391046404196262,52.535717,26.134540632556092,buy,-0.052303350660554616,1.7119116329983084,
31,TT,Trane Technologies,Industrials,Building Products,94414143488,0.4150197628458498,2026-10-29,38,4.0,0.0,2.3525,0.3849999999999998,0.11082474226804107,0.10564875400250595,0.04351315327922367,3,0.625,8.0,0.017257639358007545,0.05032787674805396,-0.08395262230868694,"+3%, +3%, +8%, +4%",-0.05566775265519397,False,0.06213560072328228,0.106,0.19251,0.13278,0.36643,0.7655974668098422,-0.03223808400198924,-0.145663080285667,0.0831671602685864,0.22810346528814707,31.9516,24.482182164256884,buy,-0.041312580566879135,1.3146151237707697,
32,CME,CME Group,Financials,Financial Exchanges & Data,99247472640,0.4142193675889328,2026-10-21,30,3.0,1.0,1.3675,-0.23499999999999988,0.01013513513513531,0.008392434988179653,-0.04538649645594339,3,1.0,6.0,0.01255444855776118,0.016395363969357077,-0.015363661646383586,"+5%, +0%, +1%, +0%",0.038831548019691686,False,0.053778931444123046,0.008,0.65036005,0.63443,0.15802,0.33386431694613594,0.006393778519714344,-0.12575180805602426,0.09269334173566546,0.027498967304917965,23.410519,21.352411755478563,hold,-0.00011746376509809826,1.0051317937951947,RECEIVABLES_OUTRUN
33,CTAS,Cintas,Industrials,Diversified Support Services,79089516544,0.41239130434782606,2026-09-23,2,4.0,0.0,1.09,0.57,0.15596330275229353,0.08904872149740672,0.02895815104802657,3,0.75,8.0,0.006414744772769085,0.04414385193669591,-0.10568031894448837,"+7%, -5%, +1%, +1%",-0.026787484697443853,False,0.060090570449380154,0.089,0.23688,0.17754,0.40714002,0.8069930025100017,0.058506218714790226,-0.08486857504760403,-0.00176395020031328,0.09447733590374385,40.334694,32.31661190019989,buy,-0.027150125567562088,1.1381582105313686,
34,PFE,Pfizer,Health Care,Pharmaceuticals,157652975616,0.4104249011857707,2026-11-03,43,4.0,0.0,17.6025,-18.405,-0.012820512820512886,0.026001501399030902,0.012855453577482967,0,0.75,8.0,0.017270709307135035,0.024385344826673983,-0.014598526854406213,"+2%, +1%, +4%, -1%",-0.020538241090895415,False,0.013146047821547935,0.026,0.27877,0.06804,0.05014,2.039790405761865,0.07984801441475953,-0.04686425185729881,0.2307633160069098,0.04392625304737896,36.394737,9.547807947329,buy,-0.04454037807016251,3.093490304709141,
35,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,158372315136,0.40777667984189725,2026-11-05,45,3.0,1.0,6.8075,6.555000000000001,1.2816901408450705,0.3682519280205656,0.25265838382256445,1,0.5714285714285714,7.0,0.008867577436779309,0.023783117343743096,-0.023261139731684977,"+1%, -2%, +3%, -2%",0.009572675620094229,False,0.11559354419800116,0.355,0.3151,0.144,0.1418,0.5824495502200491,0.1605711756207675,-0.06649199340377743,0.4494364642626525,0.10809374172054742,17.460926,13.706977190383254,buy,-0.1024305274244511,2.3620986856280974,
36,JPM,JPMorgan Chase,Financials,Diversified Banks,929488044032,0.3988735177865613,2026-10-13,22,3.0,1.0,3.435,6.7700000000000005,0.2379032258064515,0.1775767568290183,0.13318064150904196,3,0.5714285714285714,7.0,0.005499870737782159,0.02678366930629386,-0.04188112643568365,"+2%, -2%, -4%, -2%",-0.02124502079835333,False,0.04439611531997634,0.304,0.50394,0.34921002,0.17789,,0.09714743278058369,-0.04247214951290379,0.14309379714780923,0.07352914343505534,14.994426,13.993524537367584,buy,0.0475776925568518,-2.4979482687076398,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
37,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,177238507520,0.39344861660079045,2026-10-08,17,3.0,1.0,1.4325,0.5149999999999999,0.037735849056603765,0.06402358532077801,0.025961820941690306,3,0.8333333333333334,6.0,0.010188621096052106,0.04183922949142767,-0.048854413120859475,"-3%, +2%, +5%, +4%",-0.0802629990667747,False,0.038061764379087704,0.064,0.16836001,0.10785,0.51508,2.250714798822134,-0.10700653339292221,-0.21579148950808336,-0.044059853282966244,0.19460500963391136,17.005241,14.456196,hold,-0.027627865069368467,1.2875322935604248,
38,UNP,Union Pacific Corporation,Industrials,Rail Transportation,165966872576,0.38842885375494074,2026-10-22,31,3.0,1.0,2.51,2.5700000000000003,0.1254125412541256,0.11537211569710748,0.07559481156469139,2,0.6,5.0,0.003367966834154648,0.04159010821071034,-0.045367892469275306,"+4%, +9%, -2%, -2%",-0.07002498348944164,False,0.03977730413241609,0.115,0.40982,0.28847,0.39696,2.2551226328245417,0.07209364334983737,-0.09643148317405925,0.3135237157252435,0.18048346552628924,22.621052,19.724141655262603,buy,-0.041963844992738954,1.4001364256480218,
39,FAST,Fastenal,Industrials,Trading Companies & Distributors,56238854144,0.38546442687747035,2026-10-14,23,3.0,1.0,0.10749999999999996,1.875,0.13793103448275867,0.1473825890496563,0.056308124550001226,3,0.6666666666666666,6.0,0.011956072413991742,0.05489125397164754,-0.0753603135620009,"-3%, -7%, +5%, -8%",-0.047239509526620815,False,0.09107446449965506,0.147,0.21023001,0.15454,0.34334,0.12114390756811529,0.07895491203977678,-0.0643375845334494,0.06270339250614798,-0.0035000678924291817,41.88889,34.93751880347955,hold,-0.009117627089052057,1.034760742548628,
40,BSX,Boston Scientific,Health Care,Health Care Equipment,62809608192,0.37710474308300396,2026-10-28,37,4.0,0.0,3.25,-1.0199999999999996,0.14666666666666672,0.07528156490812088,-0.021016192054245986,3,0.625,8.0,0.003107150800404898,0.054028514142208287,-0.17594414170854633,"-0%, +9%, -18%, +4%",-0.1666986819600753,False,0.09629775696236686,0.075,0.22895999,0.17499,0.15338999,2.116091729043973,-0.3257371125125127,-0.587159470692421,-0.5599999984508843,0.4249796904145213,17.546558,12.654458044552769,buy,-0.01968308844713339,1.2323809523809524,
41,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,25895092224,0.3737549407114624,2026-10-21,30,3.0,1.0,8.477500000000001,-18.945,-0.25316455696202544,-0.006614173228346454,-0.1005913993691041,3,0.6,5.0,0.020263020922656833,0.0767032114128399,-0.1395690121263613,"+2%, -9%, -14%, +12%",-0.1416917567490984,False,0.09397722614075765,-0.007,0.19658001,0.12588,1.22869,2.566932437964286,-0.23975244916056948,-0.4145841020727281,-0.22508115543572838,0.47744924152882917,15.496124,11.387717869612716,buy,-0.09602720371656409,2.160972785176607,RECEIVABLES_OUTRUN
42,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,47333888000,0.34600790513833996,2026-10-21,30,4.0,0.0,4.0825000000000005,5.325,0.2158590308370043,0.17479674796747968,0.08081054900400142,3,0.5714285714285714,7.0,0.004073944821978717,0.05156348868972553,-0.09057277552693643,"+10%, +3%, +3%, -2%",-0.041063544293407306,False,0.09398619896347826,0.175,0.19188,0.10593,0.11553001,2.367408467931293,0.0893498456664017,-0.08264085328420812,0.5165064542435895,0.17463029331308633,37.71602,22.52250988298781,none,-0.03354856499460006,1.5752561071710007,
43,EMR,Emerson Electric,Industrials,Electrical Components & Equipment,83970187264,0.3437154150197628,2026-11-04,44,4.0,0.0,1.5175,-0.635,0.125,0.0702833296727432,0.03510701988384057,3,0.625,8.0,0.015398649958874938,0.04254572107455065,-0.04723640550909125,"+3%, +7%, +3%, -4%",-0.048731012926014006,False,0.03517630978890263,0.07,0.26924,0.13828,0.128,1.9184550395447746,0.05040075386437004,-0.0848739959155762,0.16240206992993755,0.15147586785228961,32.80525,20.68766574733026,buy,-0.0315137208616111,1.5180442374854481,
44,ABBV,AbbVie,Health Care,Biotechnology,466448285696,0.3135869565217392,2026-10-29,38,3.0,1.0,1.6925000000000001,-3.0050000000000003,0.2289562289562288,0.10160150424690406,0.02531206751512438,2,0.5714285714285714,7.0,0.013252759222001947,0.04013932174640347,-0.044522377959202886,"-3%, +4%, -4%, -4%",-0.007557279980448195,False,0.07628943673177968,0.102,0.40035,0.098000005,,2.0906933534900083,0.1612483652627592,-0.007557279980448195,0.23250202467571524,0.05549007053750632,74.56497,16.226176474725662,buy,-0.09693092468885078,3.0914421553090334,
45,ECL,Ecolab,Materials,Specialty Chemicals,75537342464,0.31113636363636354,2026-10-27,36,3.0,1.0,0.3025,0.044999999999999984,0.10582010582010581,0.09693928252012318,0.04342737258362117,3,0.6666666666666666,6.0,0.005996472277846623,0.03834237901756675,-0.040863739739836924,"+4%, -4%, +4%, -4%",-0.05407236760206713,False,0.05351190993650201,0.097,0.18521999,0.12566,0.21956,2.123824224185114,-0.007959192296861484,-0.11905869596384866,0.026529290212351953,0.2059393242212475,36.21774,28.61624009254233,buy,-0.035048357341184805,1.4443394443394444,
